portal,type,facet,term,count
encode,Annotation,lab.title,"Jesse Engreitz, Stanford",7
encode,Annotation,lab.title,"Bradley Bernstein, Broad",1
encode,Annotation,lab.title,"Christina Leslie, MSKCC",1
encode,Annotation,lab.title,ENCODE Consortium Analysis Working Group,1
encode,Annotation,lab.title,"Gregory Crawford, Duke",1
encode,Annotation,lab.title,"Maxwell Libbrecht, SFU",1
encode,Annotation,lab.title,"Roderic Guigo, CRG",1
encode,ReferenceEpigenome,status,archived,1
encode,ReferenceEpigenome,status,released,1
encode,ReferenceEpigenome,lab.title,"Anshul Kundaje, Stanford",1
encode,ReferenceEpigenome,lab.title,ENCODE Consortium,1
encode,Series,type,Dataset,11
encode,Series,type,Series,11
encode,Series,type,AggregateSeries,5
encode,Series,type,ReferenceEpigenome,2
encode,Series,type,FunctionalCharacterizationSeries,1
encode,Series,type,PulseChaseTimeSeries,1
encode,Series,type,ReplicationTimingSeries,1
encode,Series,type,TreatmentConcentrationSeries,1
encode,Biosample,status,released,417
encode,Biosample,status,revoked,4
encode,Biosample,treatments.treatment_term_name,NAI-N3,2
encode,Biosample,treatments.treatment_term_name,dimethyl sulfoxide,2
encode,Biosample,treatments.treatment_term_name,irradiation,2
encode,Biosample,treatments.treatment_term_name,tumor necrosis factor,1
encode,Biosample,lab.title,"Erez Aiden, Baylor",97
encode,Biosample,lab.title,"John Stamatoyannopoulos, UW",56
encode,Biosample,lab.title,"Michael Snyder, Stanford",56
encode,Biosample,lab.title,"Ryan Tewhey, JAX",44
encode,Biosample,lab.title,"Thomas Gingeras, CSHL",25
encode,Biosample,lab.title,"Barbara Wold, Caltech",20
encode,Biosample,lab.title,"Mats Ljungman, UMichigan",17
encode,Biosample,lab.title,"Ali Mortazavi, UCI",16
encode,Biosample,lab.title,"Richard Myers, HAIB",14
encode,Biosample,lab.title,"Bradley Bernstein, Broad",13
encode,Biosample,lab.title,"Jesse Engreitz, Stanford",12
encode,Biosample,lab.title,"Yijun Ruan, JAX",11
encode,Biosample,lab.title,"Morgan Giddings, UNC",9
encode,Biosample,lab.title,"Piero Carninci, RIKEN",9
encode,Biosample,lab.title,"Peggy Farnham, USC",8
encode,Biosample,lab.title,"Rob Spitale, UCI",4
encode,Biosample,lab.title,Charles Lee,2
encode,Biosample,lab.title,"Vishwanath Iyer, UTA",2
encode,Biosample,lab.title,"Gregory Crawford, Duke",1
encode,Biosample,lab.title,"Job Dekker, UMass",1
encode,Biosample,lab.title,"John Lis, Cornell",1
encode,Biosample,lab.title,"Scott Tenenbaum, SUNY-Albany",1
encode,Biosample,lab.title,Unknown Lab,1
encode,Biosample,lab.title,"Will Greenleaf, Stanford",1
encode,File,status,released,24328
encode,File,status,archived,3748
encode,File,status,revoked,1257
encode,File,output_category,annotation,13522
encode,File,output_category,signal,7519
encode,File,output_category,alignment,4100
encode,File,output_category,raw data,3025
encode,File,output_category,quantification,1007
encode,File,output_category,reference,155
encode,File,output_category,validation,5
encode,File,output_type,reads,2944
encode,File,output_type,footprints,2498
encode,File,output_type,alignments,2464
encode,File,output_type,signal p-value,2136
encode,File,output_type,peaks and background as input for IDR,2132
encode,File,output_type,fold change over control,1794
encode,File,output_type,unfiltered alignments,1448
encode,File,output_type,IDR thresholded peaks,1244
encode,File,output_type,conservative IDR thresholded peaks,1086
encode,File,output_type,optimal IDR thresholded peaks,922
encode,File,output_type,peaks,868
encode,File,output_type,IDR ranked peaks,812
encode,File,output_type,mapping quality thresholded contact matrix,623
encode,File,output_type,haplotype-specific contact matrix,472
encode,File,output_type,haplotype-specific nuclease cleavage frequency,472
encode,File,output_type,counts sequence contribution scores,292
encode,File,output_type,profile sequence contribution scores,292
encode,File,output_type,selected regions for predicted signal and sequence contribution scores,292
encode,File,output_type,sequence motifs instances,280
encode,File,output_type,gene quantifications,263
encode,File,output_type,nuclease cleavage frequency,239
encode,File,output_type,transcript quantifications,238
encode,File,output_type,minus strand signal of all reads,225
encode,File,output_type,plus strand signal of all reads,225
encode,File,output_type,minus strand signal of unique reads,194
encode,File,output_type,plus strand signal of unique reads,194
encode,File,output_type,kmer weights,192
encode,File,output_type,TF binding prediction model,182
encode,File,output_type,signal of unique reads,160
encode,File,output_type,transcriptome alignments,160
encode,File,output_type,predicted signal profile,151
encode,File,output_type,sequence motifs,148
encode,File,output_type,models,146
encode,File,output_type,sequence motifs report,146
encode,File,output_type,training and test regions,145
encode,File,output_type,model performance metrics,144
encode,File,output_type,normalized observed signal profile (minus strand),141
encode,File,output_type,normalized observed signal profile (plus strand),141
encode,File,output_type,normalized predicted signal profile (minus strand),141
encode,File,output_type,normalized predicted signal profile (plus strand),141
encode,File,output_type,observed signal profile (minus strand),141
encode,File,output_type,observed signal profile (plus strand),141
encode,File,output_type,predicted signal profile (minus strand),141
encode,File,output_type,predicted signal profile (plus strand),141
encode,File,output_type,replicated peaks,124
encode,File,output_type,signal of all reads,122
encode,File,output_type,hotspots,120
encode,File,output_type,pseudoreplicated peaks,120
encode,File,output_type,raw signal,117
encode,File,output_type,signal,114
encode,File,output_type,transcription start sites,91
encode,File,output_type,contact matrix,62
encode,File,output_type,read-depth normalized signal,62
encode,File,output_type,loops,54
encode,File,output_type,guide quantifications,48
encode,File,output_type,rejected reads,46
encode,File,output_type,element quantifications,44
encode,File,output_type,genome compartments,44
encode,File,output_type,minus strand signal,44
encode,File,output_type,plus strand signal,44
encode,File,output_type,observed control profile (minus strand),32
encode,File,output_type,observed control profile (plus strand),32
encode,File,output_type,genome subcompartments,30
encode,File,output_type,merged transcription segment quantifications,30
encode,File,output_type,transcription segment quantifications,30
encode,File,output_type,RNA-binding protein associated mRNAs,29
encode,File,output_type,contact domains,25
encode,File,output_type,exon quantifications,25
encode,File,output_type,splice junctions,25
encode,File,output_type,contigs,24
encode,File,output_type,thresholded links,22
encode,File,output_type,FDR cut rate,20
encode,File,output_type,index reads,18
encode,File,output_type,methylation state at CpG,18
encode,File,output_type,candidate Cis-Regulatory Elements,16
encode,File,output_type,pseudoreplicated IDR thresholded peaks,16
encode,File,output_type,predicted transcription start sites,14
encode,File,output_type,transcribed fragments,14
encode,File,output_type,transcriptome annotations,14
encode,File,output_type,element gene links,13
encode,File,output_type,filtered transcribed fragments,12
encode,File,output_type,semi-automated genome annotation,12
encode,File,output_type,thresholded element gene links,12
encode,File,output_type,microRNA quantifications,11
encode,File,output_type,bias-corrected predicted signal profile,10
encode,File,output_type,filtered peptide quantification,10
encode,File,output_type,pairs,10
